"k","alpha","omega","stabilite"
2,0.1,0.2,0.925068640605534
3,0.1,0.2,0.867676951620296
4,0.1,0.2,0.606078887608599
5,0.1,0.2,0.714727103911548
6,0.1,0.2,0.768701036672715
2,0.15,0.2,0.911797837206949
3,0.15,0.2,0.891395446842093
4,0.15,0.2,0.594204031822211
5,0.15,0.2,0.705505995293155
6,0.15,0.2,0.76923720720663
2,0.2,0.2,0.917801864146167
3,0.2,0.2,0.892170066529867
4,0.2,0.2,0.651692862045136
5,0.2,0.2,0.643857498303592
6,0.2,0.2,0.72634280394315
2,0.25,0.2,0.891772167473108
3,0.25,0.2,0.923901016417077
4,0.25,0.2,0.665887389287829
5,0.25,0.2,0.665462040890458
6,0.25,0.2,0.710751367227812
2,0.3,0.2,0.877023461712527
3,0.3,0.2,0.913550203622525
4,0.3,0.2,0.571765001196863
5,0.3,0.2,0.634528401383192
6,0.3,0.2,0.744586452816245
2,0.35,0.2,0.829911944737001
3,0.35,0.2,0.916398563414881
4,0.35,0.2,0.571624967246557
5,0.35,0.2,0.632346833296158
6,0.35,0.2,0.763475160831787
2,0.4,0.2,0.803596840527006
3,0.4,0.2,0.892016540413008
4,0.4,0.2,0.564995447001497
5,0.4,0.2,0.643781970622299
6,0.4,0.2,0.761184463523142
2,0.45,0.2,0.795162866804717
3,0.45,0.2,0.898442803840342
4,0.45,0.2,0.624047011545224
5,0.45,0.2,0.632033455393494
6,0.45,0.2,0.71973880695743
2,0.5,0.2,0.797785810429212
3,0.5,0.2,0.879681759047928
4,0.5,0.2,0.602445652232104
5,0.5,0.2,0.63198859020222
6,0.5,0.2,0.705910656003822
2,0.55,0.2,0.840979294574207
3,0.55,0.2,0.841098715015774
4,0.55,0.2,0.698088577823976
5,0.55,0.2,0.712475203525484
6,0.55,0.2,0.72001780843118
2,0.6,0.2,0.811982390686816
3,0.6,0.2,0.808047131523016
4,0.6,0.2,0.727646716352755
5,0.6,0.2,0.690115924235165
6,0.6,0.2,0.660535709416773
2,0.65,0.2,0.822146433853592
3,0.65,0.2,0.821693001202967
4,0.65,0.2,0.738437429313407
5,0.65,0.2,0.679869523319028
6,0.65,0.2,0.666613374087329
2,0.7,0.2,0.797098946608231
3,0.7,0.2,0.758748511176524
4,0.7,0.2,0.741339996185132
5,0.7,0.2,0.67941374049749
6,0.7,0.2,0.672560946230842
2,0.75,0.2,0.879017494044611
3,0.75,0.2,0.712309987212756
4,0.75,0.2,0.756722835234523
5,0.75,0.2,0.667531112352869
6,0.75,0.2,0.671616766250436
2,0.8,0.2,0.886428531874189
3,0.8,0.2,0.609094526676693
4,0.8,0.2,0.756071310421069
5,0.8,0.2,0.683421381665259
6,0.8,0.2,0.725159435720482
2,0.85,0.2,0.889944370361506
3,0.85,0.2,0.597507800056728
4,0.85,0.2,0.737570515930671
5,0.85,0.2,0.684002552672453
6,0.85,0.2,0.716021783689425
2,0.9,0.2,0.912593939486445
3,0.9,0.2,0.631761156876818
4,0.9,0.2,0.783164280889175
5,0.9,0.2,0.683550727898585
6,0.9,0.2,0.707865414668611
2,0.95,0.2,0.917834292717715
3,0.95,0.2,0.661494380146799
4,0.95,0.2,0.778257472752717
5,0.95,0.2,0.650705279461008
6,0.95,0.2,0.707685570040731
2,1,0.2,0.911852328442436
3,1,0.2,0.661887358676284
4,1,0.2,0.791034776681848
5,1,0.2,0.654138111133244
6,1,0.2,0.710956395631846
2,0,0.25,0.918022819688481
3,0,0.25,0.854307979302789
4,0,0.25,0.636773333467147
5,0,0.25,0.699949585867904
6,0,0.25,0.809798959283017
2,0.05,0.25,0.923750002999364
3,0.05,0.25,0.822124216910482
4,0.05,0.25,0.634043729745487
5,0.05,0.25,0.740842135403965
6,0.05,0.25,0.803751077548986
2,0.1,0.25,0.932574192418299
3,0.1,0.25,0.846343423410437
4,0.1,0.25,0.618625435613529
5,0.1,0.25,0.667781638537922
6,0.1,0.25,0.740054330075904
2,0.15,0.25,0.937943535341158
3,0.15,0.25,0.873224132842177
4,0.15,0.25,0.605496715350204
5,0.15,0.25,0.664747608856586
6,0.15,0.25,0.806825906102557
2,0.2,0.25,0.931574676153612
3,0.2,0.25,0.881874728214901
4,0.2,0.25,0.650920267401051
5,0.2,0.25,0.722212214009236
6,0.2,0.25,0.785378398487674
2,0.25,0.25,0.887850196867731
3,0.25,0.25,0.886949552150326
4,0.25,0.25,0.640131206643497
5,0.25,0.25,0.751857005497896
6,0.25,0.25,0.778124734496646
2,0.3,0.25,0.861534808763726
3,0.3,0.25,0.885230213350104
4,0.3,0.25,0.754277523321743
5,0.3,0.25,0.749770086473278
6,0.3,0.25,0.762108768280338
2,0.35,0.25,0.819161054637914
3,0.35,0.25,0.862601202759715
4,0.35,0.25,0.738552116879976
5,0.35,0.25,0.757943005370595
6,0.35,0.25,0.782569560125749
2,0.4,0.25,0.817087833917113
3,0.4,0.25,0.835689289967646
4,0.4,0.25,0.748808890340181
5,0.4,0.25,0.734636809207966
6,0.4,0.25,0.772593578008291
2,0.45,0.25,0.734206227149919
3,0.45,0.25,0.816270356651828
4,0.45,0.25,0.725405678484861
5,0.45,0.25,0.758351991661764
6,0.45,0.25,0.735616292566976
2,0.5,0.25,0.769943613105343
3,0.5,0.25,0.783036100812962
4,0.5,0.25,0.734477942468167
5,0.5,0.25,0.741883493374525
6,0.5,0.25,0.731784788873648
2,0.55,0.25,0.793233443767806
3,0.55,0.25,0.753889556790792
4,0.55,0.25,0.770388636373038
5,0.55,0.25,0.718337979041685
6,0.55,0.25,0.688650835197565
2,0.6,0.25,0.846964652861826
3,0.6,0.25,0.643227118744139
4,0.6,0.25,0.762624758392476
5,0.6,0.25,0.70846345477719
6,0.6,0.25,0.673996689388958
2,0.65,0.25,0.863990277061651
3,0.65,0.25,0.666894910634404
4,0.65,0.25,0.738611161276252
5,0.65,0.25,0.731803598480914
6,0.65,0.25,0.696551058664006
2,0.7,0.25,0.88233301660636
3,0.7,0.25,0.686447245123362
4,0.7,0.25,0.794833685587887
5,0.7,0.25,0.685062268130034
6,0.7,0.25,0.675598722125517
2,0.75,0.25,0.905842781071322
3,0.75,0.25,0.695814897707973
4,0.75,0.25,0.795033078852068
5,0.75,0.25,0.707708789791422
6,0.75,0.25,0.695547277900438
2,0.8,0.25,0.912050511191461
3,0.8,0.25,0.713201292881131
4,0.8,0.25,0.796464128135752
5,0.8,0.25,0.675017215730172
6,0.8,0.25,0.685508216080641
2,0.85,0.25,0.900884263112766
3,0.85,0.25,0.678727104408958
4,0.85,0.25,0.776217975226519
5,0.85,0.25,0.693939251238071
6,0.85,0.25,0.69170754491294
2,0.9,0.25,0.940359380482338
3,0.9,0.25,0.700819764222594
4,0.9,0.25,0.802406705328489
5,0.9,0.25,0.647526172295608
6,0.9,0.25,0.665257687650714
2,0.95,0.25,0.928687588859571
3,0.95,0.25,0.689448230005983
4,0.95,0.25,0.800882873958061
5,0.95,0.25,0.717794151068262
6,0.95,0.25,0.674424017100704
2,1,0.25,0.938652441877871
3,1,0.25,0.707429608270137
4,1,0.25,0.801685866391278
5,1,0.25,0.705562597815535
6,1,0.25,0.663662904110063
2,0,0.3,0.933199198620228
3,0,0.3,0.860444703212694
4,0,0.3,0.671112050983593
5,0,0.3,0.695925950025937
6,0,0.3,0.721750076517924
2,0.05,0.3,0.94466786206913
3,0.05,0.3,0.77374123605279
4,0.05,0.3,0.702740032726109
5,0.05,0.3,0.752489249837869
6,0.05,0.3,0.80476997926631
2,0.1,0.3,0.933084917423435
3,0.1,0.3,0.78737602418629
4,0.1,0.3,0.72911176908661
5,0.1,0.3,0.767849855199944
6,0.1,0.3,0.813068401001437
