"k","alpha","omega","stabilite"
5,0.85,0.2,0.73307922253312
6,0.85,0.2,0.733999196719961
2,0.9,0.2,0.947055214103272
3,0.9,0.2,0.778177961900953
4,0.9,0.2,0.83177615198502
5,0.9,0.2,0.739214615117649
6,0.9,0.2,0.709220399682896
2,0.95,0.2,0.935031044467278
3,0.95,0.2,0.770948605383287
4,0.95,0.2,0.831914464748344
5,0.95,0.2,0.743305711905266
6,0.95,0.2,0.706276709299387
2,1,0.2,0.943767085215812
3,1,0.2,0.752388913013274
4,1,0.2,0.803026474996232
5,1,0.2,0.73820470192523
6,1,0.2,0.696553254421674
2,0,0.25,0.898364593961409
3,0,0.25,0.938555593943431
4,0,0.25,0.874860758798087
5,0,0.25,0.834413814325827
6,0,0.25,0.793178332636683
2,0.05,0.25,0.87970558031125
3,0.05,0.25,0.92781151577001
4,0.05,0.25,0.869414157812912
5,0.05,0.25,0.822509281019954
6,0.05,0.25,0.825856082484196
2,0.1,0.25,0.884655347529505
3,0.1,0.25,0.897322317205709
4,0.1,0.25,0.903667188048389
5,0.1,0.25,0.852830543751796
6,0.1,0.25,0.804552658633545
2,0.15,0.25,0.903943927835459
3,0.15,0.25,0.878337033196721
4,0.15,0.25,0.894420895801098
5,0.15,0.25,0.830109238386921
6,0.15,0.25,0.799281606291996
2,0.2,0.25,0.910783345495509
3,0.2,0.25,0.866721022682588
4,0.2,0.25,0.886973909861132
5,0.2,0.25,0.822519252817723
6,0.2,0.25,0.794849675096091
2,0.25,0.25,0.920454759740935
3,0.25,0.25,0.86031148710444
4,0.25,0.25,0.87966287233881
5,0.25,0.25,0.809542122228499
6,0.25,0.25,0.78350607039124
2,0.3,0.25,0.914567273882116
3,0.3,0.25,0.878251520594738
4,0.3,0.25,0.897948864447118
5,0.3,0.25,0.806202130088695
6,0.3,0.25,0.804423581214524
2,0.35,0.25,0.933184775438398
3,0.35,0.25,0.87653652608275
4,0.35,0.25,0.882700925951591
5,0.35,0.25,0.794277702983288
6,0.35,0.25,0.788123306079557
2,0.4,0.25,0.923494324128566
3,0.4,0.25,0.848780003670699
4,0.4,0.25,0.88681924194065
5,0.4,0.25,0.801179428197426
6,0.4,0.25,0.749845840329197
2,0.45,0.25,0.93521382827086
3,0.45,0.25,0.841687004901687
4,0.45,0.25,0.858649582410484
5,0.45,0.25,0.793852560648305
6,0.45,0.25,0.744145862436656
2,0.5,0.25,0.933262772344105
3,0.5,0.25,0.836864247200633
4,0.5,0.25,0.874209608311905
5,0.5,0.25,0.798785350300119
6,0.5,0.25,0.764926476597618
2,0.55,0.25,0.940078163948808
3,0.55,0.25,0.807172607323224
4,0.55,0.25,0.847598475503884
5,0.55,0.25,0.780562362492748
6,0.55,0.25,0.738416386096469
2,0.6,0.25,0.940679982275199
3,0.6,0.25,0.805229405552784
4,0.6,0.25,0.840605348646597
5,0.6,0.25,0.787329416208458
6,0.6,0.25,0.745177895437356
2,0.65,0.25,0.940818267662893
3,0.65,0.25,0.795127274152324
4,0.65,0.25,0.854381787782796
5,0.65,0.25,0.796307454200861
6,0.65,0.25,0.718945712398211
2,0.7,0.25,0.945578258417374
3,0.7,0.25,0.716843776112419
4,0.7,0.25,0.847460136411223
5,0.7,0.25,0.777371449115391
6,0.7,0.25,0.745774570974521
2,0.75,0.25,0.947483095110222
3,0.75,0.25,0.74478737500801
4,0.75,0.25,0.847718910079155
5,0.75,0.25,0.791001240177269
6,0.75,0.25,0.737065524368294
2,0.8,0.25,0.954254965197997
3,0.8,0.25,0.73003187272372
4,0.8,0.25,0.814124174657775
5,0.8,0.25,0.775628504166367
6,0.8,0.25,0.749741373896339
2,0.85,0.25,0.95234155754663
3,0.85,0.25,0.747967876124958
4,0.85,0.25,0.815364672599743
5,0.85,0.25,0.785992638450163
6,0.85,0.25,0.744988211731528
2,0.9,0.25,0.933120541232317
3,0.9,0.25,0.743534298396034
4,0.9,0.25,0.82706372585547
5,0.9,0.25,0.771489112486055
6,0.9,0.25,0.733962299306525
2,0.95,0.25,0.936396084213913
3,0.95,0.25,0.74069272271928
4,0.95,0.25,0.807969404416725
